id,reference,creation,link,neighborhood,type,newbuilding,price,price_reduction,rooms,bathrooms,sqrmts,floor,elevator,terrace,heating,balcony,airconditioning,parking,swimmingpool
12638,164059538,2022-09-06,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-terraza-amueblado/164059538/d?from=list,Ciutat Vella,Piso,Used,,,2.0,1.0,102.0,,,1.0,1.0,,,,
9210,162503136,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/162503136/d?from=list,Ciutat Vella,Piso,Used,425000.0,,2.0,2.0,90.0,,1.0,,,1.0,,,
10207,163742174,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-amueblado/163742174/d?from=list,Ciutat Vella,Piso,Used,175000.0,,1.0,1.0,40.0,2.0,,,,1.0,,,
21736,164801494,2022-09-16,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-no-amueblado/164801494/d?from=list,Gràcia,Piso,Used,320000.0,,3.0,1.0,80.0,,1.0,1.0,,,,,
2889,161972530,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-trastero-ascensor/161972530/d?from=list,Horta - Guinardó,Piso,Used,227000.0,10000.0,3.0,1.0,70.0,2.0,,,,,,,
6171,164650316,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-ascensor-patio-amueblado-se-aceptan-mascotas-internet/164650316/d?from=list,Les Corts,Piso,Used,360000.0,,,2.0,,1.0,1.0,,,,,,
35907,164995060,2022-10-07,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/les-roquetes/164995060/d?from=list,Nou Barris,Piso,Used,139000.0,,3.0,1.0,70.0,1.0,,,,1.0,,,
9644,164106495,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-terraza-ascensor-piscina/164106495/d?from=list,Ciutat Vella,Piso,Used,354000.0,,2.0,1.0,57.0,3.0,1.0,,,,,,
12501,164137648,2022-09-06,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor-se-aceptan-mascotas-no-amueblado/164137648/d?from=list,Horta - Guinardó,Piso,Used,198000.0,,3.0,1.0,,2.0,1.0,,,,,,
36320,159032275,2022-10-07,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor-patio-se-aceptan-mascotas/159032275/d?from=list,Nou Barris,Piso,Used,93000.0,5000.0,,1.0,33.0,0.0,1.0,,,,,,
1614,162655608,2022-08-22,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/162655608/d?from=list,Gràcia,Piso,Used,,15000.0,3.0,2.0,86.0,,1.0,,,,,,
33895,164922649,2022-10-03,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/terraza-ascensor/164922649/d?from=list,Sants - Montjuïc,Ático,Used,440000.0,9000.0,2.0,2.0,114.0,10.0,1.0,,,,,,
22252,163388848,2022-09-16,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/163388848/d?from=list,Sant Martí,Piso,Used,290000.0,20000.0,4.0,1.0,78.0,2.0,1.0,,,,,,
37809,161856299,2022-10-28,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/la-marina-del-port/161856299/d?from=list,Sants - Montjuïc,Piso,Used,150000.0,,,1.0,65.0,3.0,,,,1.0,,,
