id,reference,creation,link,neighborhood,type,newbuilding,price,price_reduction,rooms,bathrooms,sqrmts,floor,elevator,terrace,heating,balcony,airconditioning,parking,swimmingpool
12638,164059538,2022-09-06,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-terraza-amueblado/164059538/d?from=list,Ciutat Vella,Piso,Used,NA,NA,2,1,102,NA,NA,1,1,NA,NA,NA,NA
9210,162503136,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/162503136/d?from=list,Ciutat Vella,Piso,Used,425000,NA,2,2,90,NA,1,NA,NA,1,NA,NA,NA
10207,163742174,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-amueblado/163742174/d?from=list,Ciutat Vella,Piso,Used,175000,NA,1,1,40,2,NA,NA,NA,1,NA,NA,NA
21736,164801494,2022-09-16,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-no-amueblado/164801494/d?from=list,Gràcia,Piso,Used,320000,NA,3,1,80,NA,1,1,NA,NA,NA,NA,NA
2889,161972530,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-trastero-ascensor/161972530/d?from=list,Horta - Guinardó,Piso,Used,227000,10000,3,1,70,2,NA,NA,NA,NA,NA,NA,NA
6171,164650316,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-ascensor-patio-amueblado-se-aceptan-mascotas-internet/164650316/d?from=list,Les Corts,Piso,Used,360000,NA,3,2,94,1,1,NA,NA,NA,NA,NA,NA
35907,164995060,2022-10-07,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/les-roquetes/164995060/d?from=list,Nou Barris,Piso,Used,139000,NA,3,1,70,1,NA,NA,NA,1,NA,NA,NA
9644,164106495,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-terraza-ascensor-piscina/164106495/d?from=list,Ciutat Vella,Piso,Used,354000,NA,2,1,57,3,1,NA,NA,NA,NA,NA,NA
12501,164137648,2022-09-06,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor-se-aceptan-mascotas-no-amueblado/164137648/d?from=list,Horta - Guinardó,Piso,Used,198000,NA,3,1,72,2,1,NA,NA,NA,NA,NA,NA
36320,159032275,2022-10-07,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor-patio-se-aceptan-mascotas/159032275/d?from=list,Nou Barris,Piso,Used,93000,5000,1,1,33,0,1,NA,NA,NA,NA,NA,NA
1614,162655608,2022-08-22,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/162655608/d?from=list,Gràcia,Piso,Used,285000,15000,3,2,86,NA,1,NA,NA,NA,NA,NA,NA
33895,164922649,2022-10-03,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/terraza-ascensor/164922649/d?from=list,Sants - Montjuïc,Ático,Used,440000,9000,2,2,114,10,1,NA,NA,NA,NA,NA,NA
22252,163388848,2022-09-16,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/163388848/d?from=list,Sant Martí,Piso,Used,290000,20000,4,1,78,2,1,NA,NA,NA,NA,NA,NA
37809,161856299,2022-10-28,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/la-marina-del-port/161856299/d?from=list,Sants - Montjuïc,Piso,Used,150000,NA,3,1,65,3,NA,NA,NA,1,NA,NA,NA
23249,164757627,2022-09-16,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/164757627/d?from=list,Sants - Montjuïc,Piso,Used,258000,NA,4,2,83,3,1,NA,NA,NA,NA,NA,NA
9361,160358275,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-se-aceptan-mascotas-no-amueblado/160358275/d?from=list,Eixample,Loft,Used,895000,205000,2,2,290,0,1,NA,NA,NA,NA,NA,NA
9993,164405936,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/la-nova-esquerra-de-l'eixample/164405936/d?from=list,Eixample,Piso,Used,335000,NA,NA,NA,68,4,NA,NA,NA,NA,NA,NA,NA
9098,164175985,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/164175985/d?from=list,Sants - Montjuïc,Piso,Used,179000,NA,3,1,79,3,1,NA,NA,NA,NA,NA,NA
23342,164784962,2022-09-16,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/terraza-ascensor/164784962/d?from=list,Horta - Guinardó,Piso,Used,335000,NA,2,1,59,10,1,NA,NA,NA,NA,NA,NA
34387,164682678,2022-10-03,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/164682678/d?from=list,Sant Martí,Piso,Used,355000,NA,3,1,85,NA,1,NA,NA,1,NA,NA,NA
3005,164378359,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-terraza-ascensor/164378359/d?from=list,Les Corts,Piso,Used,330000,NA,3,2,88,2,NA,NA,NA,NA,NA,NA,NA
36547,165035083,2022-10-07,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/165035083/d?from=list,Sarrià - Sant Gervasi,Piso,Used,790000,NA,4,3,157,1,1,NA,NA,NA,NA,NA,NA
7990,163156874,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-terraza-ascensor-amueblado-internet/163156874/d?from=list,Les Corts,Piso,Used,464000,NA,1,1,50,9,1,NA,NA,NA,NA,NA,NA
3996,164547519,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television-internet/164547519/d?from=list,Les Corts,Piso,Used,439000,NA,3,2,98,2,1,NA,NA,NA,NA,NA,NA
